Year,Geography,Place,1921_Rent_Total,1921_Rent_Average,1921_Rent_under_$5,1921_Rent_$5-9,1921_Rent_$10-11,1921_Rent_$12-13,1921_Rent_$14-15,1921_Rent_$16-17,1921_Rent_$18-19,1921_Rent_$20-24,1921_Rent_$25-29,1921_Rent_$30-34,1921_Rent_$35-39,1921_Rent_$40-44,1921_Rent_$45-49,1921_Rent_$50-59,1921_Rent_$60+,1931_Rent_Total,1931_Rent_under_$10,1931_Rent_$10-$15,1931_Rent_$16-$24,1931_Rent_$25-$39,1931_Rent_$40-$59,1931_Rent_$60+,1931_Rent_unspec.,1931_Value_Total,1931_Value_Under_$500,1931_Value_$500-999,1931_Value_$1000-1999,1931_Value_$2000-2999,1931_Value_$3000-3999,1931_Value_$4000-4999,1931_Value_$5000-9999,1931_Value_$10000+,1931_Value_Not_Specified,1931_Owners_i_Lodgers,1931_Tenants_i_Lodgers,1931_Owners_f_Lodgers,1931_Tenants_f_Lodgers,1931_Total_Households,1941_Rent_Total,1941_Rent_under_$10,1941_Rent_$10-14,1941_Rent_$15-19,1941_Rent_$20-24,1941_Rent_$25-29,1941_Rent_$30-34,1941_Rent_$35-39,1941_Rent_$40-49,1941_Rent_$50-59,1941_Rent_$60+,1941_Rent_Not_Specified,1941_Value_Total,1941_Value_Under_$500,1941_Value_$500-999,1941_Value_$1000-1499,1941_Value_$1500-1999,1941_Value_$2000-2999,1941_Value_$3000-3999,1941_Value_$4000-4999,1941_Value_$5000-6999,1941_Value_$7000-9999,1941_Value_$10000+,1941_Value_Not_Specified,1941_Heads_Total,1941_Heads_under_25,1941_Heads_25-34,1941_Heads_35-44,1941_Pop_Total,1941_Pop_20-24,1941_Pop_25-34,1941_Pop_35-44,1941_Married_Men_20-24,1941_Married_Men_25-34,1941_Married_Men_35-44,1951_Heads_Under_35,1951_Heads_35-44,1951_Households_Total,1951_Households_With_Lodgers,1951_Households_Without_Lodgers,1951_Pop_20-24,1951_Pop_25-29,1951_Pop_30-34,1951_Pop_35-39,1951_Pop_40-44,1951_Rent_Total,1951_Rent_$0,1951_Rent_$1-14,1951_Rent_$15-19,1951_Rent_$20-24,1951_Rent_$25-29,1951_Rent_$30-39,1951_Rent_$40-49,1951_Rent_$50-59,1951_Rent_$60-69,1951_Rent_$70+,1961_Rent_Total,1961_Rent_$0,1961_Rent_Under_$20,1961_Rent_$20-29,1961_Rent_$30-39,1961_Rent_$40-49,1961_Rent_$50-59,1961_Rent_$60-69,1961_Rent_$70-79,1961_Rent_$80-89,1961_Rent_$90-99,1961_Rent_$100-109,1961_Rent_,1961_Rent_$120-129,1961_Rent_$130-149,1961_Rent_$150+,1961_Values_Total,"1961_Values_Under_$3,000",1961_Values_$3000-7499,1961_Values_$7500-12499,1961_Values_$12500-17499,1961_Values_$17500-22499,1961_Values_$22500-27499,1961_Values_$27500-32499,1961_Values_$32500-37499,1961_Values_$37500_or_more,1961_Median_Value,1961_Heads_Total,1961_Heads_under_25,1961_Heads_25-34,1961_Heads_35-44,1961_Pop_Total,1961_Pop_20-24,1961_Pop_25-34,1961_Pop_35-44,1961_Households_with_lodgers,1971_Rent_TOTAL,1971_Rent_No_Cash,1971_Rent_Under_$20,1971_Rent_$20-29,1971_Rent_$30-39,1971_Rent_$40-59,1971_Rent_$60-79,1971_Rent_$80-99,1971_Rent_$100-119,1971_Rent_$120-139,1971_Rent_$140-159,1971_Rent_$160-179,1971_Rent_$180-199,1971_Rent_$200-249,1971_Rent_$250-299,1971_Rent_$300-349,1971_Rent_$350+,1971_Rent_Average_Cash,1971_Rent_Average_Gross,1971_Rent_Median_Cash,1971_Rent_Median_Gross,1971_Value_Total,1971_Value_Under_$3000,1971_Value_$3000-7499,1971_Value_$7500-12499,1971_Value_$12500-17499,1971_Value_$17500-22499,1971_Value_$22500-27499,1971_Value_$27500-32499,1971_Value_$32500-37499,1971_Value_$37500-42499,1971_Value_$42500-52499,1971_Value_$52500-62499,1971_Value_$62500_or_higher,1971_Value_Median_Value,1971_Heads_Total,1971_Heads_Male_Under_Age_25,1971_Heads_Male_25-34,1971_Heads_Male_35-44,1971_Heads_Female_Under_Age_25,1971_Heads_Female_25-34,1971_Heads_Female_35-44,1971_Pop_20-24,1971_Pop_25-29,1971_Pop_30-34,1971_Pop_35-39,1971_Pop_40-44
1921,Big City,Halifax,6858,27.46,16,296,393,519,891,218,218,915,841,694,492,348,185,333,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Big City,Montreal,102114,22.84,165,6242,8279,11737,15232,8796,7582,14245,9597,5208,3572,2588,1535,2499,4837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Big City,Quebec,12181,18.74,116,1699,1488,1622,1675,887,802,1310,821,469,353,279,168,203,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Big City,Toronto,54124,35.21,60,643,1159,1487,3033,1750,1915,6967,7612,6121,5374,3921,2957,4402,6723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Big City,Hamilton,11131,26.53,21,255,416,568,1208,713,702,1912,1619,1006,844,567,366,440,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Big City,Ottawa,13684,30.63,13,191,412,534,980,687,698,2000,1890,1470,1339,961,657,861,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Big City,Winnipeg,19543,39.5,48,435,649,600,1208,420,411,1707,2058,1699,1617,1442,1449,2152,3648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Big City,Calgary,7762,31.71,24,272,326,245,532,211,225,921,1088,844,727,591,446,634,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Big City,Edmonton,6636,28.6,94,555,524,307,712,121,123,718,736,577,535,425,238,447,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Big City,Vancouver,17098,34.77,113,705,725,474,1162,375,353,2227,2324,1851,1616,1244,849,1196,1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
